Latitude,Longitude
55.60830312276828,12.991481870412827
55.60833721112773,12.991795018315315
55.608369784421214,12.99210749566555
55.608402357687744,12.992421314120293
55.60843568844401,12.992733791470528
55.608469397930115,12.993045262992382
55.608503107387165,12.993358075618744
55.60853643805786,12.993670217692852
55.60856938994305,12.993983700871468
55.608599879881176,12.99429651349783
55.60863491487391,12.994608655571938
55.60866445787053,12.99492247402668
55.60869740964815,12.995234280824661
55.60874702664043,12.995540723204613
55.60880308240349,12.995842806994915
55.60886784943539,12.99613919109106
55.608942842707116,12.996428869664669
55.60903715222413,12.996726594865322
55.60911744769829,12.99698542803526
55.60920266677179,12.997263707220554
55.609290158161194,12.997542656958103
55.60936666562319,12.99783032387495
55.60944355168463,12.998117990791798
55.60951968009939,12.998405322432518
55.609598080849686,12.998692989349365
