Latitude,Longitude
55.608430385825564,12.991427555680275
55.608463716558056,12.991742715239525
55.60849704726221,12.992057874798775
55.60853113545305,12.99236498773098
55.60856825367164,12.992682829499245
55.60860234180054,12.992991283535957
55.60863491487391,12.993293032050133
55.608667487920194,12.99361489713192
55.60870384849801,12.993907257914543
55.60873566397596,12.994222417473793
55.608762176854505,12.994540929794312
55.60879626481501,12.994831278920174
55.6088341402918,12.995142415165901
55.60886974320671,12.995417341589928
55.60891595119685,12.995729818940163
55.608978066770106,12.996028885245323
55.609043969770696,12.996325269341469
55.60913032525906,12.996604219079018
55.6092181955608,12.996880486607552
55.60930265691516,12.997162118554115
55.609382383721915,12.99745213240385
55.609455292892584,12.99773745238781
55.60952649756214,12.998029813170433
55.60959845959688,12.998321503400803
55.60967383021806,12.998611181974411
